stock_id,stock_name,episode_start_date,dataset,normal_subregime,production_market_regime,market_path_state,entry_close,episode_return_day0_to_day10,episode_outcome,future_trade_date_10d,maturity_status,data_status
1905,華紙,2026-06-22,A,BULL_NORMAL,BULL_TREND,NORMAL,18.45,-8.6720867208672,LOSER,2026-07-06,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2415,錩新,2026-06-22,A,BULL_NORMAL,BULL_TREND,NORMAL,30.3,37.45874587458744,WINNER,2026-07-06,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
8072,陞泰,2026-06-22,A,BULL_NORMAL,BULL_TREND,NORMAL,31.25,-6.240000000000001,LOSER,2026-07-06,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6919,康霈*,2026-06-22,A,BULL_NORMAL,BULL_TREND,NORMAL,119.5,-16.317991631799167,LOSER,2026-07-06,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00639,富邦深100,2026-06-22,A,BULL_NORMAL,BULL_TREND,NORMAL,18.91,-4.283447911158111,NEUTRAL,2026-07-06,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6573,虹揚-KY,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,19.55,28.132992327365724,WINNER,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5283,禾聯碩,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,57.4,-6.445993031358876,LOSER,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6715,嘉基,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,569.0,-20.562390158172228,LOSER,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2832,台產,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,56.4,0.3546099290780091,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6243,迅杰,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,41.5,-5.421686746987953,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3530,晶相光,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,73.6,-8.831521739130432,LOSER,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2634,漢翔,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,49.7,17.50503018108651,WINNER,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2466,冠西電,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,56.3,64.47602131438721,WINNER,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2330,台積電,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,2490.0,-2.008032128514059,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2646,星宇航空,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,21.4,-0.4672897196261627,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6257,矽格,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,237.0,2.1097046413502074,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2399,映泰,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,50.9,-2.7504911591355596,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
8438,昶昕,2026-06-23,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,101.0,-3.861386138613865,NEUTRAL,2026-07-07,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
