unit,stock_id,episode_start_date,confirmation_date,feature_as_of_date,max_source_date,promotion_reference_close,point_in_time_valid,future_feature_used,outcome_used_in_decision,audit_status
DAY1,00990A,2026-06-15,2026-06-16,2026-06-16,2026-06-16,20.89,True,False,False,POINT_IN_TIME_VALID
DAY1,00701,2026-06-15,2026-06-16,2026-06-16,2026-06-16,38.2,True,False,False,POINT_IN_TIME_VALID
DAY1,00876,2026-06-15,2026-06-16,2026-06-16,2026-06-16,100.2,True,False,False,POINT_IN_TIME_VALID
DAY1,6202,2026-06-15,2026-06-16,2026-06-16,2026-06-16,62.0,True,False,False,POINT_IN_TIME_VALID
DAY1,00941,2026-06-15,2026-06-16,2026-06-16,2026-06-16,28.55,True,False,False,POINT_IN_TIME_VALID
DAY1,00663L,2026-06-15,2026-06-16,2026-06-16,2026-06-16,108.4,True,False,False,POINT_IN_TIME_VALID
DAY1,00661,2026-06-15,2026-06-16,2026-06-16,2026-06-16,89.8,True,False,False,POINT_IN_TIME_VALID
DAY1,00675L,2026-06-15,2026-06-16,2026-06-16,2026-06-16,329.0,True,False,False,POINT_IN_TIME_VALID
DAY1,00685L,2026-06-15,2026-06-16,2026-06-16,2026-06-16,297.4,True,False,False,POINT_IN_TIME_VALID
DAY1,4952,2026-06-15,2026-06-16,2026-06-16,2026-06-16,56.0,True,False,False,POINT_IN_TIME_VALID
DAY1,00731,2026-06-15,2026-06-16,2026-06-16,2026-06-16,89.1,True,False,False,POINT_IN_TIME_VALID
DAY1,00915,2026-06-15,2026-06-16,2026-06-16,2026-06-16,31.36,True,False,False,POINT_IN_TIME_VALID
DAY1,00929,2026-06-15,2026-06-16,2026-06-16,2026-06-16,30.63,True,False,False,POINT_IN_TIME_VALID
DAY1,00901,2026-06-15,2026-06-16,2026-06-16,2026-06-16,46.81,True,False,False,POINT_IN_TIME_VALID
DAY1,00918,2026-06-15,2026-06-16,2026-06-16,2026-06-16,32.12,True,False,False,POINT_IN_TIME_VALID
DAY1,00939,2026-06-15,2026-06-16,2026-06-16,2026-06-16,21.47,True,False,False,POINT_IN_TIME_VALID
DAY1,00690,2026-06-15,2026-06-16,2026-06-16,2026-06-16,81.2,True,False,False,POINT_IN_TIME_VALID
DAY1,00954,2026-06-15,2026-06-16,2026-06-16,2026-06-16,21.02,True,False,False,POINT_IN_TIME_VALID
DAY1,00935,2026-06-15,2026-06-16,2026-06-16,2026-06-16,61.35,True,False,False,POINT_IN_TIME_VALID
DAY1,00830,2026-06-15,2026-06-16,2026-06-16,2026-06-16,98.45,True,False,False,POINT_IN_TIME_VALID
DAY1,00951,2026-06-15,2026-06-16,2026-06-16,2026-06-16,19.69,True,False,False,POINT_IN_TIME_VALID
DAY1,00735,2026-06-15,2026-06-16,2026-06-16,2026-06-16,113.85,True,False,False,POINT_IN_TIME_VALID
DAY1,5471,2026-06-15,2026-06-16,2026-06-16,2026-06-16,57.5,True,False,False,POINT_IN_TIME_VALID
DAY1,009804,2026-06-15,2026-06-16,2026-06-16,2026-06-16,23.92,True,False,False,POINT_IN_TIME_VALID
DAY1,4551,2026-06-15,2026-06-16,2026-06-16,2026-06-16,183.5,True,False,False,POINT_IN_TIME_VALID
DAY1,00930,2026-06-15,2026-06-16,2026-06-16,2026-06-16,24.83,True,False,False,POINT_IN_TIME_VALID
DAY1,00900,2026-06-15,2026-06-16,2026-06-16,2026-06-16,19.39,True,False,False,POINT_IN_TIME_VALID
DAY1,009802,2026-06-15,2026-06-16,2026-06-16,2026-06-16,19.89,True,False,False,POINT_IN_TIME_VALID
DAY1,00631L,2026-06-15,2026-06-16,2026-06-16,2026-06-16,37.31,True,False,False,POINT_IN_TIME_VALID
DAY1,0050,2026-06-15,2026-06-16,2026-06-16,2026-06-16,105.9,True,False,False,POINT_IN_TIME_VALID
DAY1,00907,2026-06-15,2026-06-16,2026-06-16,2026-06-16,16.39,True,False,False,POINT_IN_TIME_VALID
DAY1,00905,2026-06-15,2026-06-16,2026-06-16,2026-06-16,27.77,True,False,False,POINT_IN_TIME_VALID
DAY1,3041,2026-06-15,2026-06-16,2026-06-16,2026-06-16,26.4,True,False,False,POINT_IN_TIME_VALID
DAY1,00988A,2026-06-15,2026-06-16,2026-06-16,2026-06-16,22.68,True,False,False,POINT_IN_TIME_VALID
DAY1,00912,2026-06-15,2026-06-16,2026-06-16,2026-06-16,34.13,True,False,False,POINT_IN_TIME_VALID
DAY1,5434,2026-06-15,2026-06-16,2026-06-16,2026-06-16,470.5,True,False,False,POINT_IN_TIME_VALID
DAY1,00850,2026-06-15,2026-06-16,2026-06-16,2026-06-16,91.05,True,False,False,POINT_IN_TIME_VALID
DAY1,00947,2026-06-15,2026-06-16,2026-06-16,2026-06-16,39.52,True,False,False,POINT_IN_TIME_VALID
DAY1,00923,2026-06-15,2026-06-16,2026-06-16,2026-06-16,42.66,True,False,False,POINT_IN_TIME_VALID
DAY1,00692,2026-06-15,2026-06-16,2026-06-16,2026-06-16,91.65,True,False,False,POINT_IN_TIME_VALID
DAY1,6191,2026-06-15,2026-06-16,2026-06-16,2026-06-16,100.5,True,False,False,POINT_IN_TIME_VALID
DAY1,00908,2026-06-15,2026-06-16,2026-06-16,2026-06-16,15.02,True,False,False,POINT_IN_TIME_VALID
DAY1,006204,2026-06-15,2026-06-16,2026-06-16,2026-06-16,227.75,True,False,False,POINT_IN_TIME_VALID
DAY1,00657,2026-06-15,2026-06-16,2026-06-16,2026-06-16,81.05,True,False,False,POINT_IN_TIME_VALID
DAY1,00944,2026-06-15,2026-06-16,2026-06-16,2026-06-16,21.5,True,False,False,POINT_IN_TIME_VALID
DAY1,006208,2026-06-15,2026-06-16,2026-06-16,2026-06-16,245.35,True,False,False,POINT_IN_TIME_VALID
DAY1,00927,2026-06-15,2026-06-16,2026-06-16,2026-06-16,39.91,True,False,False,POINT_IN_TIME_VALID
DAY1,3044,2026-06-15,2026-06-16,2026-06-16,2026-06-16,546.0,True,False,False,POINT_IN_TIME_VALID
DAY1,00861,2026-06-16,2026-06-17,2026-06-17,2026-06-17,94.5,True,False,False,POINT_IN_TIME_VALID
DAY1,00913,2026-06-16,2026-06-17,2026-06-17,2026-06-17,52.05,True,False,False,POINT_IN_TIME_VALID
DAY1,00892,2026-06-16,2026-06-17,2026-06-17,2026-06-17,45.06,True,False,False,POINT_IN_TIME_VALID
DAY1,00991A,2026-06-16,2026-06-17,2026-06-17,2026-06-17,20.02,True,False,False,POINT_IN_TIME_VALID
