stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,branch_r_eligible,branch_exclusion_state,momentum_rank,down_survival_ratio,down_survival_ratio_top120_percentile,entry_close,maturity_status,branch_maturity_status,episode_outcome,decision_date,feature_as_of_date,max_source_date,point_in_time_valid
00676R,富邦臺灣加權反1,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,78.0,1.0,84.58333333333333,5.97,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
1201,味全,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,63.0,1.0,84.58333333333333,12.6,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
1231,聯華食,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,18.0,1.0,84.58333333333333,90.6,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
1323,永裕,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,112.0,1.0,84.58333333333333,20.2,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
2008,高興昌,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,81.0,0.6666666666666666,35.833333333333336,31.05,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
2024,志聯,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,119.0,1.0,84.58333333333333,14.0,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
2105,正新,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,15.0,1.0,84.58333333333333,33.6,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
2115,六暉-KY,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,68.0,0.8333333333333334,58.333333333333336,21.7,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
2608,嘉里大榮,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,88.0,0.8333333333333334,58.333333333333336,29.4,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
2929,淘帝-KY,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,97.0,0.6666666666666666,35.833333333333336,5.88,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
3024,憶聲,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,104.0,1.0,84.58333333333333,14.2,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
4582,聚恆-創,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,111.0,0.8333333333333334,58.333333333333336,27.8,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
6937,天虹,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,113.0,0.5,18.333333333333332,269.0,PENDING_DAY10,PENDING_DAY10,,2026-07-17,2026-07-17,2026-07-17,True
00665L,富邦恒生國企正2,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,41.0,0.7142857142857143,43.333333333333336,9.37,PENDING_DAY10,PENDING_DAY10,,2026-07-20,2026-07-20,2026-07-20,True
