stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,momentum_rank,entry_close,episode_outcome,maturity_status,available_forward_sessions,branch_n_eligible,outcome_maturity_status,day0_state,decision_date,feature_as_of_date,max_source_date,point_in_time_valid,input_status,confirmation_date,day1_c_pass,state,promotion_reference_close,predicate_trace,missing_required_feature
8499,鼎炫-KY,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,117.0,302.0,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
9927,泰銘,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,110.0,69.8,,EXCLUDED_NON_NORMAL,8,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-15,2026-07-15,2026-07-15,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00715L,期街口布蘭特正2,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,66.0,43.3,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00916,國泰全球品牌50,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,95.0,26.77,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1101,台泥,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,115.0,23.95,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1103,嘉泥,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,117.0,13.65,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1110,東泥,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,62.0,16.1,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1436,華友聯,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,113.0,46.0,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1439,雋揚,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,41.0,26.45,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1442,名軒,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,89.0,29.4,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1732,毛寶,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,76.0,26.5,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2459,敦吉,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,50.0,67.2,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2524,京城,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,88.0,38.45,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
3266,昇陽,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,97.0,14.0,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6789,采鈺,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,73.0,526.0,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
8404,百和興業-KY,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,107.0,17.05,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
OilGasElectricity,油電燃氣類指數,2026-07-16,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,118.0,108.62,,EXCLUDED_NON_NORMAL,7,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-16,2026-07-16,2026-07-16,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00632R,元大台灣50反1,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,83.0,10.83,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00642U,期元大S&P石油,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,71.0,25.9,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00664R,國泰臺灣加權反1,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,76.0,1.74,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00676R,富邦臺灣加權反1,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,78.0,5.97,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1201,味全,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,63.0,12.6,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1231,聯華食,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,18.0,90.6,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1323,永裕,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,112.0,20.2,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2008,高興昌,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,81.0,31.05,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2024,志聯,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,119.0,14.0,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2105,正新,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,15.0,33.6,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2115,六暉-KY,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,68.0,21.7,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2608,嘉里大榮,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,88.0,29.4,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2929,淘帝-KY,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,97.0,5.88,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
3024,憶聲,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,104.0,14.2,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
4582,聚恆-創,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,111.0,27.8,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6937,天虹,2026-07-17,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,113.0,269.0,,EXCLUDED_NON_NORMAL,6,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-17,2026-07-17,2026-07-17,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00665L,富邦恒生國企正2,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,41.0,9.37,,EXCLUDED_NON_NORMAL,5,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-20,2026-07-20,2026-07-20,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
00686R,群益臺灣加權反1,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,118.0,1.08,,EXCLUDED_NON_NORMAL,5,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-20,2026-07-20,2026-07-20,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1220,台榮,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,110.0,11.4,,EXCLUDED_NON_NORMAL,5,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-20,2026-07-20,2026-07-20,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
1233,天仁,2026-07-20,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,87.0,29.0,,EXCLUDED_NON_NORMAL,5,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-20,2026-07-20,2026-07-20,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
