evaluation_date,advancing_count,declining_count,unchanged_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,limit_up_count,limit_down_count,median_stock_return_1d,median_stock_return_5d,volume_expanding_count,advance_decline_ratio_3d,advance_decline_ratio_5d,breadth_change_3d,breadth_change_5d,index_stock_divergence
2026-07-13,452,831,73,0.5439229843561973,24.281150159744406,29.840255591054316,30.926517571884983,94,283,0.3321554770318021,26,22,-0.46512634129456387,-2.452316076294292,269,0.6411613237556302,0.6613707886877384,-7.923322683706072,-25.239616613418537,-0.5405899604363107
2026-07-14,288,991,73,0.29061553985872857,21.533546325878593,20.511182108626198,24.34504792332268,82,452,0.18141592920353983,13,8,-1.1135912698412742,-3.700280687341684,438,0.5309884968356875,0.4782860813841731,-12.396166134185307,-32.33226837060703,-0.2056063455661561
2026-07-15,1122,170,62,6.6,50.031948881789134,36.48562300319489,35.07987220447284,153,76,2.013157894736842,34,0,1.4376742098549666,-0.4739336492891044,215,2.4781795080716424,1.7628199022251239,0.6389776357827444,-3.7699680511182123,0.8092084600758498
2026-07-16,454,794,108,0.5717884130982368,43.194888178913736,33.1629392971246,32.843450479233226,127,198,0.6414141414141414,18,8,-0.4201680672268948,-0.60606060606061,200,2.487467984318989,1.7529507807210596,1.9169329073482437,-3.8977635782747626,0.36678781343029154
2026-07-17,134,1185,36,0.11308016877637131,16.549520766773163,15.910543130990416,21.150159744408946,55,671,0.08196721311475409,3,95,-3.3266129032258007,-3.678929765886285,487,2.4282895272915366,1.6238814212179071,-3.194888178913736,-13.290734824281152,-2.237425815167115
2026-07-20,507,754,91,0.6724137931034483,18.78594249201278,18.14696485623003,22.492012779552716,65,535,0.12149532710280374,11,19,-0.3701589331384647,-3.192159103550801,285,0.4524274583260193,1.6495795829673572,-12.587859424920126,-8.434504792332266,-3.266162660941979
2026-07-21,1070,210,68,5.095238095238095,33.9297124600639,28.817891373801917,27.412140575079874,89,65,1.3692307692307693,45,2,1.2823340606520572,-0.7882488505292606,186,1.9602440190393053,2.6105040940432302,-5.431309904153352,3.067092651757193,-0.3407255436930767
2026-07-22,749,517,86,1.448742746615087,49.39297124600639,31.437699680511184,26.900958466453673,65,92,0.7065217391304348,29,3,0.3744255109360273,-1.8599129402453451,234,2.405464878318877,1.580252643366248,5.750798722044728,-8.178913738019169,0.09400910038352972
2026-07-23,490,750,112,0.6533333333333333,51.501597444089455,30.287539936102238,25.623003194888177,63,129,0.4883720930232558,8,9,-0.2473325896208689,-1.7937219730941756,153,2.3991047250621724,1.5965616274132672,3.130990415335461,-7.220447284345049,0.09691027038218891
2026-07-24,387,862,100,0.44895591647331784,32.26837060702875,25.175718849840255,22.93929712460064,57,239,0.2384937238493724,7,13,-0.7434944237918351,0.264250684349554,162,0.8503439988072466,1.6637367769526565,-4.472843450479235,1.7891373801916934,2.040742815961083
