stock_id,episode_start_date,dataset,entry_close,path_outcome,winner_hit_date,loser_hit_date,day10_outcome,future_return_10d
00733,2026-06-18,A,78.25,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,0.575079872204487
00762,2026-06-18,A,121.7,HIT_LOSER_FIRST,,2026-07-03,LOSER,-6.450287592440429
00896,2026-06-18,A,27.97,NO_BARRIER_HIT,,,NEUTRAL,1.2155881301394444
00946,2026-06-18,A,15.4,NO_BARRIER_HIT,,,NEUTRAL,1.9480519480519431
009803,2026-06-18,A,21.97,NO_BARRIER_HIT,,,NEUTRAL,-0.0910332271279013
009808,2026-06-18,A,32.0,NO_BARRIER_HIT,,,NEUTRAL,0.0
00982A,2026-06-18,A,24.83,NO_BARRIER_HIT,,,NEUTRAL,2.7386226339106035
00993A,2026-06-18,A,14.29,HIT_LOSER_FIRST,,2026-06-29,NEUTRAL,0.7697690692792358
00639,2026-06-22,A,18.91,NO_BARRIER_HIT,,,NEUTRAL,-4.283447911158111
1905,2026-06-22,A,18.45,HIT_LOSER_FIRST,,2026-06-23,LOSER,-8.6720867208672
2415,2026-06-22,A,30.3,HIT_WINNER_FIRST,2026-06-25,,WINNER,37.45874587458744
6919,2026-06-22,A,119.5,HIT_LOSER_FIRST,,2026-06-23,LOSER,-16.317991631799167
8072,2026-06-22,A,31.25,HIT_LOSER_FIRST,,2026-06-26,LOSER,-6.240000000000001
1437,2026-06-23,A,30.05,NO_BARRIER_HIT,,,NEUTRAL,2.4958402662229595
1529,2026-06-23,A,22.95,NO_BARRIER_HIT,,,NEUTRAL,-1.7429193899782036
1535,2026-06-23,A,50.0,NO_BARRIER_HIT,,,NEUTRAL,0.20000000000000018
2330,2026-06-23,A,2490.0,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,-2.008032128514059
2399,2026-06-23,A,50.9,HIT_LOSER_FIRST,,2026-06-29,NEUTRAL,-2.7504911591355596
2466,2026-06-23,A,56.3,HIT_WINNER_FIRST,2026-06-30,,WINNER,64.47602131438721
2634,2026-06-23,A,49.7,HIT_WINNER_FIRST,2026-06-30,,WINNER,17.50503018108651
2646,2026-06-23,A,21.4,NO_BARRIER_HIT,,,NEUTRAL,-0.4672897196261627
2832,2026-06-23,A,56.4,NO_BARRIER_HIT,,,NEUTRAL,0.35460992907800915
3530,2026-06-23,A,73.6,HIT_LOSER_FIRST,,2026-06-26,LOSER,-8.831521739130432
3712,2026-06-23,A,17.95,NO_BARRIER_HIT,,,NEUTRAL,-2.228412256267398
5283,2026-06-23,A,57.4,HIT_LOSER_FIRST,,2026-06-26,LOSER,-6.445993031358876
6243,2026-06-23,A,41.5,NO_BARRIER_HIT,,,NEUTRAL,-5.421686746987953
6257,2026-06-23,A,237.0,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,2.1097046413502074
6573,2026-06-23,A,19.55,HIT_LOSER_FIRST,,2026-06-24,WINNER,28.132992327365724
6715,2026-06-23,A,569.0,HIT_LOSER_FIRST,,2026-06-24,LOSER,-20.562390158172228
8046,2026-06-23,A,909.0,HIT_WINNER_FIRST,2026-06-25,,WINNER,13.311331133113313
8438,2026-06-23,A,101.0,HIT_LOSER_FIRST,,2026-06-24,NEUTRAL,-3.861386138613865
9930,2026-06-23,A,70.1,HIT_LOSER_FIRST,,2026-07-01,LOSER,-9.985734664764612
9940,2026-06-23,A,19.25,NO_BARRIER_HIT,,,NEUTRAL,2.0779220779220786
1216,2026-06-24,A,75.1,NO_BARRIER_HIT,,,NEUTRAL,4.6604527296937315
1234,2026-06-24,A,35.15,HIT_LOSER_FIRST,,2026-07-01,NEUTRAL,-5.832147937411092
1236,2026-06-24,A,25.8,NO_BARRIER_HIT,,,NEUTRAL,1.9379844961240345
1310,2026-06-24,A,9.93,HIT_WINNER_FIRST,2026-07-03,,NEUTRAL,11.278952668680775
1315,2026-06-24,A,62.3,NO_BARRIER_HIT,,,NEUTRAL,2.4077046548956593
1449,2026-06-24,A,14.95,HIT_LOSER_FIRST,,2026-06-26,LOSER,-6.688963210702337
1475,2026-06-24,A,27.0,NO_BARRIER_HIT,,,NEUTRAL,0.7407407407407307
2352,2026-06-24,A,30.6,HIT_WINNER_FIRST,2026-07-01,,WINNER,12.418300653594772
2539,2026-06-24,A,39.1,NO_BARRIER_HIT,,,NEUTRAL,0.12787723785165905
2910,2026-06-24,A,22.7,NO_BARRIER_HIT,,,NEUTRAL,-3.3039647577092546
3588,2026-06-24,A,75.9,HIT_LOSER_FIRST,,2026-06-25,LOSER,-10.408432147562586
4119,2026-06-24,A,44.25,NO_BARRIER_HIT,,,NEUTRAL,1.1299435028248483
4164,2026-06-24,A,30.55,HIT_LOSER_FIRST,,2026-06-29,NEUTRAL,-5.237315875613757
4169,2026-06-24,A,193.0,HIT_WINNER_FIRST,2026-06-30,,WINNER,44.55958549222798
6505,2026-06-24,A,55.2,NO_BARRIER_HIT,,,NEUTRAL,7.608695652173902
6909,2026-06-24,A,60.4,HIT_LOSER_FIRST,,2026-06-26,LOSER,-12.74834437086092
7799,2026-06-24,A,413.0,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,7.021791767554486
9944,2026-06-24,A,17.85,NO_BARRIER_HIT,,,NEUTRAL,0.0
Plastics,2026-06-24,A,285.32,HIT_LOSER_FIRST,,2026-06-29,WINNER,13.321884200196266
00674R,2026-06-25,A,30.82,NO_BARRIER_HIT,,,NEUTRAL,-1.9792342634652793
1313,2026-06-25,A,12.55,HIT_WINNER_FIRST,2026-07-03,,NEUTRAL,-0.3984063745020028
1709,2026-06-25,A,21.4,HIT_WINNER_FIRST,2026-07-03,,WINNER,14.018691588785037
1725,2026-06-25,A,35.05,HIT_LOSER_FIRST,,2026-07-02,LOSER,-9.843081312410828
