stock_id,stock_name,evaluation_date,dataset,policy,market_gate_pass,pocket_gate_pass,state_aware_pocket_gate_pass,survival_gate_pass,selected,outcome,future_return_10d,data_status
2465,麗臺,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,False,False,LOSER,-10.05586592178771,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2486,一詮,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,False,False,LOSER,-15.444015444015449,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3005,神基,2026-07-09,B,P3_SURVIVAL_ONLY,False,False,False,False,False,NEUTRAL,0.8928571428571397,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3015,全漢,2026-07-09,B,P3_SURVIVAL_ONLY,False,False,False,False,False,LOSER,-15.10903426791278,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3617,碩天,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,True,True,LOSER,-11.98347107438017,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5258,虹堡,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,False,False,NEUTRAL,-1.325757575757569,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6176,瑞儀,2026-07-09,B,P3_SURVIVAL_ONLY,True,False,False,True,True,NEUTRAL,-2.759381898454749,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6928,攸泰科技,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,False,False,NEUTRAL,0.5628517823639934,RECONSTRUCTED_NOT_PRODUCTION_EXACT
7823,奧義賽博-KY創,2026-07-09,B,P3_SURVIVAL_ONLY,False,True,False,True,True,LOSER,-6.4189189189189255,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1232,大統益,2026-07-13,C,P3_SURVIVAL_ONLY,True,True,False,True,True,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1308,亞聚,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2101,南港,2026-07-13,C,P3_SURVIVAL_ONLY,True,False,False,True,True,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2321,東訊,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2374,佳能,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2482,連宇,2026-07-13,C,P3_SURVIVAL_ONLY,True,True,False,True,True,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3596,智易,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3694,海華,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4564,元翎,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4764,雙鍵,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6142,友勁,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6225,天瀚,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6533,晶心科,2026-07-13,C,P3_SURVIVAL_ONLY,False,True,False,False,False,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6863,永道-KY,2026-07-13,C,P3_SURVIVAL_ONLY,True,True,False,True,True,,,RECONSTRUCTED_NOT_PRODUCTION_EXACT
